Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Name
"C31"	"CC0603KRX7R9BB104"	"C0603"	"48.765mm"	"58.231mm"	"48.765mm"	"58.231mm"	"48.765mm"	"58.931mm"	"2"	"T"	"270"	"Yes"	"100nF"	"100nF"
"C32"	"CC0603KRX7R9BB104"	"C0603"	"45.311mm"	"50.216mm"	"45.311mm"	"50.216mm"	"44.611mm"	"50.216mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"
"C33"	"CC0603KRX7R9BB104"	"C0603"	"45.3mm"	"50.225mm"	"45.3mm"	"50.225mm"	"44.6mm"	"50.225mm"	"2"	"B"	"0"	"Yes"	"100nF"	"100nF"
"C34"	"CC0603KRX7R9BB104"	"C0603"	"45.3mm"	"47mm"	"45.3mm"	"47mm"	"44.6mm"	"47mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"
"C35"	"CL10A105KB8NNNC"	"C0603"	"55.45mm"	"27.75mm"	"55.45mm"	"27.75mm"	"55.45mm"	"27.05mm"	"2"	"T"	"90"	"Yes"	"1uF"	"1uF"
"C36"	"CC0603KRX7R9BB104"	"C0603"	"48.48mm"	"38.13mm"	"48.48mm"	"38.13mm"	"48.48mm"	"38.83mm"	"2"	"T"	"270"	"Yes"	"100nF"	"100nF"
"C37"	"CC0603KRX7R9BB104"	"C0603"	"47.055mm"	"38.13mm"	"47.055mm"	"38.13mm"	"47.055mm"	"38.83mm"	"2"	"T"	"270"	"Yes"	"100nF"	"100nF"
"C38"	"TAJA106K016RNJ"	"CAP-SMD_L3.2-W1.6-RD-C7171"	"43.775mm"	"38.975mm"	"43.775mm"	"38.975mm"	"42.245mm"	"38.975mm"	"2"	"T"	"0"	"Yes"	"10uF"	"10uF"
"C39"	"CC0603KRX7R9BB104"	"C0603"	"39.925mm"	"37.225mm"	"39.925mm"	"37.225mm"	"39.225mm"	"37.225mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"
"C40"	"CL10A105KB8NNNC"	"C0603"	"45.575mm"	"23.35mm"	"45.575mm"	"23.35mm"	"45.575mm"	"22.65mm"	"2"	"T"	"90"	"Yes"	"1uF"	"1uF"
"C41"	"CC0603KRX7R9BB104"	"C0603"	"47.025mm"	"23.35mm"	"47.025mm"	"23.35mm"	"47.025mm"	"22.65mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C42"	"CC0603KRX7R9BB104"	"C0603"	"40.434mm"	"27.105mm"	"40.434mm"	"27.105mm"	"40.434mm"	"26.405mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C43"	"CL10A105KB8NNNC"	"C0603"	"41.86mm"	"26.4mm"	"41.86mm"	"26.4mm"	"41.86mm"	"25.7mm"	"2"	"T"	"90"	"Yes"	"1uF"	"1uF"
"C44"	"CC0603KRX7R9BB104"	"C0603"	"39.759mm"	"31.849mm"	"39.759mm"	"31.849mm"	"39.059mm"	"31.849mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"
"C45"	"CC0603KRX7R9BB104"	"C0603"	"49.825mm"	"23.35mm"	"49.825mm"	"23.35mm"	"49.825mm"	"22.65mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C47"	"CL10A475KO8NNNC"	"C0603"	"47.336mm"	"58.231mm"	"47.336mm"	"58.231mm"	"47.336mm"	"58.931mm"	"2"	"T"	"270"	"Yes"	"4.7uF"	"4.7uF"
"C48"	"CL10A475KO8NNNC"	"C0603"	"47.347mm"	"54.618mm"	"47.347mm"	"54.618mm"	"47.347mm"	"55.318mm"	"2"	"T"	"270"	"Yes"	"4.7uF"	"4.7uF"
"C49"	"CL10A475KO8NNNC"	"C0603"	"45.922mm"	"54.621mm"	"45.922mm"	"54.621mm"	"45.922mm"	"55.321mm"	"2"	"T"	"270"	"Yes"	"4.7uF"	"4.7uF"
"C50"	"CL10B223KB8NNNC"	"C0603"	"29.388mm"	"31.37mm"	"29.388mm"	"31.37mm"	"28.688mm"	"31.37mm"	"2"	"T"	"0"	"Yes"	"22nF"	"22nF"
"C51"	"0603B682K500NT"	"C0603"	"34.33mm"	"30.625mm"	"34.33mm"	"30.625mm"	"33.63mm"	"30.625mm"	"2"	"T"	"0"	"Yes"	"6.8nF"	"6.8nF"
"C52"	"0603B682K500NT"	"C0603"	"34.33mm"	"29.2mm"	"34.33mm"	"29.2mm"	"33.63mm"	"29.2mm"	"2"	"T"	"0"	"Yes"	"6.8nF"	"6.8nF"
"C53"	"CL10C330JB8NNNC"	"C0603"	"66.687mm"	"51.23mm"	"66.687mm"	"51.23mm"	"66.687mm"	"51.93mm"	"2"	"T"	"270"	"Yes"	"33pF"	"33pF"
