No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	Mounting Style	LCSC Stock
38	2	2k	R7,R121	R0603	2k	0603WAF2001T5E	UNI-ROYAL	C22975	LCSC	SMT
39	7	1k	R10,R11,R12,R40,R123,R125,R126	R0603	1k	0603WAF1001T5E	UNI-ROYAL	C21190	LCSC	SMT
40	2	4.7k	R13,R14	R1206	4.7k	1206W4F4701T5E	UNI-ROYAL	C17936	LCSC	SMT
41	19	33R	R15,R41,R43,R44,R47,R49,R52,R57,R61,R62,R65,R67,R72,R85,R87,R90,R93,R94,R97	R0603	33R	0603WAF330JT5E	UNI-ROYAL	C23140	LCSC	SMT
42	1	10R	R16	R0603	10R	0603WAF100JT5E	UNI-ROYAL	C22859	LCSC	SMT
43	3	4.7k	R17,R20,R21	R0603	4.7k	0603WAF4701T5E	UNI-ROYAL	C23162	LCSC	SMT
44	4	49.9R	R18,R19,R26,R27	R0603	49.9R	0603WAF499JT5E	UNI-ROYAL	C23185	LCSC	SMT
45	4	4.7R	R22,R23,R24,R25	R0603	4.7R	0603WAF470KT5E	UNI-ROYAL	C23164	LCSC	SMT
46	1	1M	R28	R0603	1M	0603WAF1004T5E	UNI-ROYAL	C22935	LCSC	SMT
47	1	0R	R29	R0603	0R	0603WAF0000T5E	UNI-ROYAL	C21189	LCSC	SMT
48	1	12.4k	R30	R0603	12.4k	RC0603FR-0712K4L	YAGEO	C137798	LCSC	SMT
49	20	330R	R32,R39,R42,R45,R46,R50,R51,R53,R60,R63,R64,R68,R71,R73,R86,R91,R92,R95,R96,R100	R0603	330R	0603WAF3300T5E	UNI-ROYAL	C23138	LCSC	SMT
50	1	1M	R35	R1206	1M	1206W4F1004T5E	UNI-ROYAL	C17927	LCSC	SMT
51	10	5.6k	R55,R58,R69,R74,R83,R88,R98,R107,R109,R112	R0805	5.6k	0805W8F5601T5E	UNI-ROYAL	C4382	LCSC	SMT
52	2	120R	R111,R113	R0603	120R	0603WAF1200T5E	UNI-ROYAL	C22787	LCSC	SMT
53	2	22R	R114,R115	R0402	22R	0402WGF220JTCE	UNI-ROYAL	C25092	LCSC	SMT
54	1	10k trim pot	R128	RES-ADJ-TH_L6.7-W4.5-P2.50_PV37W	10k	PV37W103C01B00	BOURNS	C6630214	LCSC	DIP
55	1	J1B1211CCD	RJ1	RJ45-TH_J1B1211CCD		J1B1211CCD	WIZNET	C910371	LCSC	DIP
56	2	TS-1088-AR02016	SW1,SW2	SW-SMD_L3.9-W3.0-P4.45		TS-1088-AR02016	XUNPU	C720477	LCSC	SMT
57	1	TPS5430DDAR	U1	ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP		TPS5430DDAR	TI	C9864	LCSC	SMT
58	1	AMS1117-3.3	U2	SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR		AMS1117-3.3	AMS	C6186	LCSC	SMT
59	1	B2424S-2WR3	U3	PWRM-TH_BXXXXS-2WR3	100kHz	B2424S-2WR3	YLPTEC	C5369487	LCSC	DIP
60	1	RP2350B	U4	QFN-80_L10.0-W10.0-P0.40-TL-EP3.4		RP2350B	Raspberry Pi	C42415655	LCSC	SMT
61	1	W5500	U5	LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL		W5500	WIZNET	C32843	LCSC	SMT
62	1	W25Q128JVSIQ	U6	SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL		W25Q128JVSIQ	Winbond	C97521	LCSC	SMT
63	3	74HC14D,653	U7,U10,U15	SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL		74HC14D,653	Nexperia	C5605	LCSC	SMT
64	10	LTV-217-B-G	U8,U9,U11,U12,U13,U14,U16,U17,U18,U20	SOP-4_L4.4-W2.8-P1.27-LS7.0-BR		LTV-217-B-G	LITEON	C115450	LCSC	SMT
65	3	SP3485EN-L/TR	U19,U21,U22	SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL		SP3485EN-L/TR	MaxLinear	C8963	LCSC	SMT
66	1	LM358DR2G	U23	SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL		LM358DR2G	onsemi	C7950	LCSC	SMT
67	1	TYPE-C-31-M-12	USBC1	USB-C_SMD-TYPE-C-31-M-12_1		TYPE-C-31-M-12	Korean Hanyong	C165948	LCSC	SMT
68	1	25MHz	X1	CRYSTAL-SMD_4P-L3.2-W2.5-BL	25MHz	X322525MOB4SI	YXC	C9006	LCSC	SMT
69	1	12MHz	X2	CRYSTAL-SMD_4P-L3.2-W2.5-BL	12MHz	X322512MSB4SI	YXC	C9002	LCSC	SMT
